Timestamp,Message
02/04/2021 00:00:00,Start of day system state is NORMAL
02/04/2021 00:05:25,NYISO has initiated reserve pick-up.
02/04/2021 00:05:25,NYISO has initiated reserve pick-up.
02/04/2021 00:05:25,NYISO has initiated reserve pick-up.
02/04/2021 00:05:25,NYISO has initiated reserve pick-up.
02/04/2021 00:08:39,**State Change. System now operating in alert state.**
02/04/2021 00:08:39,**State Change. System now operating in alert state.**
02/04/2021 00:08:39,**State Change. System now operating in alert state.**
02/04/2021 00:16:14,NYISO has terminated reserve pick-up.
02/04/2021 00:16:14,NYISO has terminated reserve pick-up.
02/04/2021 00:16:14,NYISO has terminated reserve pick-up.
02/04/2021 00:18:55,**State Change. System now operating in normal state.**
02/04/2021 00:18:55,**State Change. System now operating in normal state.**
02/04/2021 00:18:55,**State Change. System now operating in normal state.**
02/04/2021 00:18:55,**State Change. System now operating in normal state.**
