Timestamp,Message
02/19/2021 00:00:00,Start of day system state is NORMAL
02/19/2021 09:24:32,NYISO has initiated reserve pick-up.
02/19/2021 09:24:32,NYISO has initiated reserve pick-up.
02/19/2021 09:24:32,NYISO has initiated reserve pick-up.
02/19/2021 09:24:32,NYISO has initiated reserve pick-up.
02/19/2021 09:34:32,NYISO has terminated reserve pick-up.
02/19/2021 09:34:32,NYISO has terminated reserve pick-up.
02/19/2021 09:34:32,NYISO has terminated reserve pick-up.
02/19/2021 09:34:32,NYISO has terminated reserve pick-up.
02/19/2021 12:07:26,NYISO has initiated reserve pick-up.
02/19/2021 12:07:26,NYISO has initiated reserve pick-up.
02/19/2021 12:07:26,NYISO has initiated reserve pick-up.
02/19/2021 12:07:26,NYISO has initiated reserve pick-up.
02/19/2021 12:15:21,NYISO has terminated reserve pick-up.
02/19/2021 12:15:21,NYISO has terminated reserve pick-up.
02/19/2021 12:15:21,NYISO has terminated reserve pick-up.
02/19/2021 12:15:21,NYISO has terminated reserve pick-up.
