Timestamp,Message
02/09/2021 00:00:00,Start of day system state is NORMAL
02/09/2021 07:35:49,NYISO has initiated reserve pick-up.
02/09/2021 07:35:49,NYISO has initiated reserve pick-up.
02/09/2021 07:35:49,NYISO has initiated reserve pick-up.
02/09/2021 07:35:49,NYISO has initiated reserve pick-up.
02/09/2021 07:42:26,NYISO has terminated reserve pick-up.
02/09/2021 07:42:26,NYISO has terminated reserve pick-up.
02/09/2021 07:42:26,NYISO has terminated reserve pick-up.
02/09/2021 07:42:26,NYISO has terminated reserve pick-up.
02/09/2021 11:33:52,**State Change. System now operating in alert state.**
02/09/2021 11:33:52,**State Change. System now operating in alert state.**
02/09/2021 11:33:52,**State Change. System now operating in alert state.**
02/09/2021 11:37:40,**State Change. System now operating in normal state.**
02/09/2021 11:37:40,**State Change. System now operating in normal state.**
02/09/2021 11:37:40,**State Change. System now operating in normal state.**
02/09/2021 11:37:40,**State Change. System now operating in normal state.**
